first_name,middle_initial,last_name,animal,material,country
Isahella,Y,Warrington,"Crane, sandhill",Steel,Poland
Law,R,Shitliff,Sportive lemur,Wood,Russia
Amber,E,Henrique,Dabchick,Brass,Croatia
Catherina,Z,Shimoni,Little brown dove,Stone,Russia
Chastity,A,Reynold,Gerenuk,Glass,Greece
Pat,P,Sprott,Chuckwalla,Brass,Comoros
Torrin,N,Clother,Mexican wolf,Granite,Indonesia
Hi,M,Mohammed,Purple grenadier,Wood,Mexico
Rozalin,E,Igglesden,Koala,Wood,Philippines
Courtnay,E,Escritt,Indian star tortoise,Steel,Indonesia
Ingunna,G,Daye,"Cliffchat, mocking",Plastic,El Salvador
Nil,R,McNeigh,Galapagos tortoise,Brass,Mexico
Birk,W,Ipwell,White-tailed jackrabbit,Stone,China
Janenna,P,Riddel,Rhesus macaque,Glass,France
Zachary,B,Itzcovich,Cape raven,Steel,China
Brett,I,Antusch,"Lemming, collared",Glass,Peru
Felipa,Z,Trodden,"Lion, southern sea",Plastic,Portugal
Eulalie,G,Ganning,Laughing kookaburra,Granite,Nigeria
Guenevere,A,Davidovich,"Mongoose, banded",Stone,Indonesia
Xylia,O,Sore,Brush-tailed rat kangaroo,Rubber,Philippines
Lovell,F,Leal,"Vulture, lappet-faced",Glass,Chad
Brnaba,L,Corrado,"Porcupine, prehensile-tailed",Stone,China
Alley,C,Myrick,"Stork, white-necked",Plexiglass,French Polynesia
Minta,L,Arent,"Macaque, pig-tailed",Vinyl,Russia
Giorgio,O,Brasher,Eurasian beaver,Brass,Czech Republic
Tiffy,Z,Pickburn,White-winged dove,Rubber,China
Bethanne,D,Duddridge,Western palm tanager (unidentified),Vinyl,Indonesia
Jenna,Y,Adney,"Owl, burrowing",Stone,Luxembourg
Shelley,Z,Frascone,Red-tailed phascogale,Stone,Brazil
Gaelan,O,Felmingham,"Badger, honey",Aluminum,Argentina
Renaldo,S,McElhinney,Eastern boa constrictor,Rubber,Nigeria
Correy,B,Capin,"Crane, blue",Brass,China
Amble,N,Amyes,Cottonmouth,Glass,Kazakhstan
Kalie,D,Dawidowicz,"Creeper, black-tailed tree",Vinyl,Poland
Allis,F,Bewick,White-bellied sea eagle,Stone,Poland
Dominga,Z,Goldbourn,Frilled lizard,Plexiglass,Philippines
Ruddie,S,Cardillo,Old world fruit bat (unidentified),Wood,China
Olva,M,Benstead,"Deer, savannah",Wood,Ethiopia
Myrilla,L,Wulfinger,"Lemming, collared",Wood,China
Myra,P,Norvell,Slender loris,Vinyl,Indonesia
Ynez,C,Bromehead,Woylie,Plastic,Poland
Hastie,J,Lammerich,Elegant crested tinamou,Vinyl,Nigeria
Phaidra,F,Douce,River wallaby,Vinyl,China
Nikaniki,M,Parker,Python (unidentified),Stone,Czech Republic
Tracie,C,Abrami,"Flamingo, roseat",Glass,Malaysia
Myriam,Y,Gerardot,"Pintail, bahama",Vinyl,Poland
Dita,G,Shrieves,Cuis,Aluminum,China
Ladonna,L,Tappington,Fairy penguin,Brass,Brazil
Ellwood,Q,Jelf,"Dragon, asian water",Brass,Portugal
Tonye,V,McMonnies,"Cormorant, large",Stone,Portugal
Elsinore,G,Ketch,"Jackal, golden",Rubber,Poland
Marika,L,Pybus,Brush-tailed rat kangaroo,Brass,China
Murry,P,Boyen,"Mouse, four-striped grass",Glass,Japan
Gaspar,W,Daulby,Yellow-rumped siskin,Wood,Colombia
Chelsie,Y,Simmgen,Black-tailed tree creeper,Vinyl,Nicaragua
Francisca,E,Praill,"Duck, white-faced whistling",Granite,China
Eddy,Y,Hunnawill,Savannah deer,Plastic,Indonesia
Griffin,F,Probin,"Vulture, white-rumped",Brass,Philippines
Fredericka,L,Edgar,Brazilian otter,Plastic,Palestinian Territory
Rhianon,J,Davidovich,Argalis,Glass,Indonesia
Asia,A,Skivington,"Goose, greylag",Plastic,Canada
Ninetta,O,Borman,Pine siskin,Steel,China
Veda,X,Rizzi,"Wallaby, red-necked",Glass,Philippines
Ingrim,M,Oseland,"Legaan, water",Glass,Indonesia
Cherrita,W,Shakesby,"Snake, western patch-nosed",Granite,Peru
Yuma,C,Regnard,Egyptian vulture,Steel,Brazil
Gerrard,K,Greenroad,"Lion, steller's sea",Glass,China
Averell,Q,Scuffham,Greater flamingo,Rubber,Slovenia
Abran,R,Judgkins,White spoonbill,Steel,Russia
Leanor,C,Alyoshin,Vine snake (unidentified),Plastic,Indonesia
Hillyer,M,Pibworth,"Butterfly, canadian tiger swallowtail",Glass,Vietnam
Corabel,P,Dowse,Australian brush turkey,Vinyl,China
Veradis,X,Kingdon,Mouflon,Rubber,Indonesia
Cinnamon,N,Chatenier,Black-tailed deer,Stone,Germany
Beale,L,Hagwood,Superb starling,Wood,Uganda
Alley,N,Orrum,Tammar wallaby,Wood,Philippines
Sinclair,R,Densell,"Creeper, black-tailed tree",Plexiglass,Russia
Kylynn,M,Flowerdew,Springhare,Brass,Pakistan
Elden,Z,Vigurs,"Spider, wolf",Plastic,Colombia
Hayley,E,Scrine,"Goose, andean",Plexiglass,Philippines
Ellen,U,Sommerfeld,"Antelope, four-horned",Glass,China
Darla,W,McCorrie,"Booby, masked",Steel,Philippines
Morissa,E,Pridgeon,"Buffalo, american",Plastic,Indonesia
Luigi,H,Wellbeloved,Crowned hawk-eagle,Glass,China
Debor,N,McLucas,"Cormorant, great",Rubber,Indonesia
Tymon,P,Misselbrook,"Buffalo, african",Granite,Mexico
Maynord,R,Spanton,African elephant,Plexiglass,United States
Reggy,W,Addis,"Otter, african clawless",Stone,China
Baron,X,Brims,Arboral spiny rat,Granite,China
Gordan,J,Reyner,"Dragonfly, russian",Granite,Belarus
Isaiah,B,Viste,"Cat, tiger",Stone,Brazil
Lindsay,P,Goodricke,Cougar,Plastic,Lithuania
Jeri,H,Robbie,Crested porcupine,Steel,Indonesia
Neille,D,Blore,"Vulture, egyptian",Aluminum,Ukraine
Town,A,Frow,"Brocket, red",Stone,Nigeria
Nettie,Q,Fullerd,"Vulture, griffon",Glass,Botswana
Gradeigh,N,Boat,Giant armadillo,Plastic,Cambodia
Ella,D,Pulman,Weeper capuchin,Plastic,China
Ewan,R,Peinton,"Waterbuck, common",Plastic,Sweden
Garey,T,Smalridge,"Finch, common melba",Steel,Hungary
Thor,L,Attenbrow,Savanna fox,Wood,Indonesia
Hank,X,Redfield,Jungle cat,Plexiglass,Czech Republic
Lonnard,H,Eastup,"Mongoose, small indian",Plexiglass,Poland
Garnette,Z,McQuaide,"Bleu, blue-breasted cordon",Granite,Malaysia
Nadean,Q,Bowerman,Ring-tailed lemur,Rubber,Indonesia
Aeriela,H,Hehir,"Hen, sage",Wood,Russia
Ferdinande,B,Franckton,Little blue penguin,Brass,Belarus
Alexei,Q,Roddick,"Dove, emerald-spotted wood",Aluminum,Japan
Cassy,L,Munkley,"Heron, yellow-crowned night",Plexiglass,Indonesia
Massimiliano,G,Demaine,Spur-winged goose,Rubber,China
Shandeigh,L,Ahern,"Cobra, cape",Steel,Lithuania
Bernita,D,Kitching,"Heron, grey",Steel,Uzbekistan
Brett,Z,Becraft,Australian pelican,Wood,Colombia
Minnnie,A,Consadine,Ground legaan,Granite,Panama
Donny,H,Berkowitz,Openbill stork,Rubber,Albania
Branden,J,Batrick,Hoary marmot,Vinyl,Philippines
Terencio,I,Poynser,"Tern, white-winged black",Wood,Indonesia
Kristos,C,Todaro,Four-striped grass mouse,Glass,Russia
Nathalie,X,Stolte,Red meerkat,Wood,Armenia
Curran,K,Gornal,"Otter, brazilian",Aluminum,Malaysia
Lotte,Z,Benet,"Eagle, bateleur",Granite,China
Cyrillus,T,Blabber,"Bear, black",Plexiglass,Philippines
Bernita,L,Galfour,Yellow-brown sungazer,Plastic,Indonesia
Alane,M,Skatcher,"Boa, emerald green tree",Brass,Portugal
Zorina,U,Avraham,"Crane, sandhill",Steel,Indonesia
Elisabetta,I,Summerley,Polar bear,Aluminum,Czech Republic
Niles,Z,Bednall,"Pheasant, ring-necked",Vinyl,Indonesia
Jorie,I,Sturdy,"Shrike, southern white-crowned",Wood,Russia
Erminie,N,Glandfield,Gerenuk,Wood,Brazil
Percy,Y,Siemianowicz,"Marmot, hoary",Steel,Portugal
Shaina,Y,McEntee,Native cat,Granite,Brazil
Farrand,U,Andriss,"Peacock, blue",Stone,Russia
Janek,L,Filippello,"Civet, small-toothed palm",Rubber,Peru
Sebastian,O,Storry,"Racer, american",Aluminum,Denmark
Olenka,D,Maplestone,African jacana,Plexiglass,Indonesia
Darcie,X,Goly,Black bear,Plastic,China
Esme,G,Pashbee,Argalis,Wood,Pakistan
Lowrance,W,Slym,"Glider, squirrel",Plexiglass,Russia
Zara,N,Conigsby,"Bison, american",Vinyl,Poland
Guthrey,Q,Colquitt,"Cardinal, black-throated",Vinyl,Guatemala
Quentin,F,Rekes,"Bulbul, black-fronted",Plastic,Philippines
Marline,X,Syred,Onager,Aluminum,China
Brittni,F,Jiranek,Groundhog,Vinyl,Argentina
Brennen,S,Tarbatt,"Parrot, hawk-headed",Brass,Ireland
Mateo,H,Domokos,"Flycatcher, tyrant",Plexiglass,Nicaragua
Candis,K,Blumer,"Ox, musk",Stone,Russia
Gisela,Y,Waldren,Madagascar fruit bat,Plexiglass,Bahamas
Emlynne,T,Krysztowczyk,Three-banded plover,Aluminum,France
Gav,F,Roubeix,Laughing kookaburra,Steel,Portugal
Cord,A,Dealey,Pig-tailed macaque,Granite,Russia
Sorcha,F,Castelluzzi,Gray duiker,Aluminum,China
Ardenia,M,Heakins,Galah,Wood,Uzbekistan
Andy,G,Sinnott,"Fox, arctic",Wood,Indonesia
Kylen,R,Kernock,"Ibis, glossy",Granite,Dominican Republic
Say,X,Noriega,"Puma, south american",Aluminum,Morocco
Gunar,Z,Casajuana,Common nighthawk,Aluminum,Indonesia
Cyrus,L,Johnke,African elephant,Brass,Israel
Gayleen,V,Fogarty,Tawny eagle,Glass,Indonesia
Parker,U,Pascow,"Cow, scottish highland",Stone,China
Latashia,V,Linguard,"Salmon, sockeye",Glass,China
Kahaleel,O,O' Cuolahan,"Lion, african",Plastic,United States
Petr,R,Whatsize,Brown antechinus,Plexiglass,China
Milly,J,Sitford,Sportive lemur,Granite,Portugal
Etti,I,Accum,Woodrat (unidentified),Brass,Argentina
Korey,Q,Stainbridge,African ground squirrel (unidentified),Glass,Mexico
Damon,V,Amoore,"Lory, rainbow",Rubber,United States
Allix,H,Gerin,Western pygmy possum,Steel,China
Harriott,I,Fandrey,"Shrike, southern white-crowned",Aluminum,China
Marie-jeanne,I,Doggart,Blue-breasted cordon bleu,Steel,Finland
Sari,U,Dickerline,"Lion, australian sea",Rubber,Bulgaria
Kiele,A,Glencross,"Falcon, prairie",Aluminum,Latvia
Vasily,B,Gateland,Crab (unidentified),Vinyl,Russia
Niall,G,Flag,"Rattlesnake, horned",Aluminum,Philippines
Hedwig,W,Pacquet,Southern tamandua,Wood,Croatia
Morty,K,Renzini,Asiatic wild ass,Plexiglass,Croatia
Yvonne,S,Bindin,Southern ground hornbill,Rubber,Costa Rica
Sande,V,Kinnin,"Oryx, beisa",Glass,Indonesia
Harry,G,Messum,Indian red admiral,Glass,Ukraine
Murvyn,W,Kingham,Asian lion,Brass,Dominican Republic
Morlee,G,Klauer,"Cockatoo, red-tailed",Wood,Portugal
Veronique,Z,Boles,"Nuthatch, red-breasted",Vinyl,Bangladesh
Ricki,T,Cantor,Asian lion,Plexiglass,Poland
Andromache,Z,Gaythor,"Starling, superb",Plastic,Guatemala
Daveen,J,McCuffie,Arctic tern,Plexiglass,Austria
Jess,D,Leads,"Puma, south american",Brass,Poland
Ottilie,C,Bohje,"Mongoose, small indian",Stone,Iran
Alberta,W,Newport,"Goose, knob-nosed",Granite,China
Alexandra,E,Scripps,"Goldeneye, common",Vinyl,Poland
Dave,K,Cesco,"Monkey, vervet",Aluminum,Indonesia
Cos,K,Stanway,"Albatross, galapagos",Steel,China
Greta,A,Scattergood,Collared lizard,Plastic,China
Biron,F,McCorley,"Heron, goliath",Plexiglass,Thailand
Patience,W,Mitchard,"Rattlesnake, horned",Steel,Czech Republic
Garold,C,Gertray,Swallow-tail gull,Glass,Russia
Britt,Q,Duigenan,Large-eared bushbaby,Plastic,Philippines
Sherline,L,Bowne,"Turkey, australian brush",Wood,Indonesia
Krystyna,I,Aronov,Platypus,Rubber,Philippines
Deirdre,Q,Shellibeer,"Duck, white-faced whistling",Vinyl,Armenia
Dante,L,Rubinlicht,"Bear, sloth",Stone,Guatemala
Valaree,N,Vaen,"Bleu, blue-breasted cordon",Plexiglass,Kosovo
Jeannine,T,McNeilley,Mountain lion,Stone,French Polynesia
Wilton,M,Leve,"Baboon, yellow",Rubber,Philippines
Chloris,E,Rowlin,"Puffin, horned",Rubber,Canada
Eduard,Y,Stagg,Beisa oryx,Glass,Togo
Doralin,A,Offa,Bald eagle,Glass,Russia
Madlen,M,Dibdall,Silver-backed fox,Glass,South Africa
Yasmeen,G,Woodburne,Herring gull,Wood,Indonesia
Denise,H,Cattanach,"Sandpiper, spotted wood",Brass,Peru
Stuart,X,Faudrie,"Deer, mule",Vinyl,Cameroon
Charity,J,Thridgould,Guanaco,Plastic,Honduras
Ceil,W,Wrought,"Skunk, western spotted",Stone,Indonesia
Manny,E,Cisneros,"Jaeger, long-tailed",Glass,Chad
Joni,H,Mungane,"Lizard, collared",Glass,China
Isa,H,O'Feeney,"Kingfisher, pied",Granite,Indonesia
Arnaldo,D,Etchells,Sea birds (unidentified),Wood,Russia
Tandie,K,Grandison,"Rattlesnake, horned",Glass,Russia
Jordanna,Y,Maroney,Blue-tongued skink,Plexiglass,Zambia
Karlan,R,Di Giacomo,Springhare,Stone,Portugal
Dominic,R,Richardt,White-lipped peccary,Wood,Poland
Gabriell,Z,Jewiss,"Anteater, australian spiny",Granite,Czech Republic
Xaviera,E,Chipping,Rainbow lory,Rubber,Indonesia
Dulcie,O,Cast,Horned lark,Granite,China
Jaquelin,J,Gilliam,Griffon vulture,Plastic,China
Vivia,O,Desson,Secretary bird,Stone,Indonesia
Tressa,N,Slamaker,Downy woodpecker,Brass,Colombia
Efrem,Y,Ludl,"Flamingo, lesser",Stone,Spain
Laurence,T,Bianco,Ring-necked pheasant,Vinyl,Greece
Purcell,H,Dominey,"Parrot, hawk-headed",Glass,Canada
Elsi,E,Drewery,"Flycatcher, tyrant",Plastic,Russia
Sissie,T,Lafrentz,"Rabbit, eastern cottontail",Granite,China
Elly,Q,Gerrish,"Lion, california sea",Stone,Indonesia
Sherrie,L,Eggers,Royal tern,Plexiglass,Russia
Adelaide,D,Earengey,Blesbok,Glass,Colombia
Deny,E,Waith,White stork,Plastic,Philippines
Mame,Y,Summerlie,"Crane, sandhill",Glass,South Africa
Odo,U,McIlreavy,"Roadrunner, greater",Plastic,United States
Heinrick,H,Helks,"Porcupine, tree",Glass,Indonesia
Terri,T,Morat,"Bustard, kori",Brass,Morocco
Kameko,P,Forcer,Horned rattlesnake,Stone,Indonesia
Anett,Z,Bowater,"Woodpecker, red-headed",Aluminum,Burkina Faso
Kaylee,Q,Bensen,"Capuchin, black-capped",Plastic,Russia
Pammy,Q,Oldis,"Squirrel, eurasian red",Plastic,Brazil
Blake,S,Smouten,Rhesus monkey,Steel,Japan
Leola,U,Fellows,"Capuchin, weeper",Granite,France
Tiffani,N,Cuttings,"Magpie, australian",Glass,Martinique
Wendy,N,Emby,"Dove, emerald-spotted wood",Brass,Brazil
Scotti,D,Hachette,"Tern, white-winged black",Plexiglass,Azerbaijan
Isidoro,N,Palluschek,"Blackbird, red-winged",Aluminum,France
Seline,D,Matthesius,"Openbill, asian",Plastic,Ukraine
Sofia,R,MacConnel,Wood pigeon,Steel,Swaziland
Chere,K,Keunemann,Defassa waterbuck,Glass,France
Adda,Q,Child,"Iguana, common green",Aluminum,Czech Republic
Claudian,K,Le Quesne,Sarus crane,Steel,Portugal
Blythe,U,Ballantyne,Red-breasted cockatoo,Vinyl,Colombia
Randie,L,Putterill,Sarus crane,Plastic,Bosnia and Herzegovina
Ramsay,U,Harken,"Screamer, southern",Rubber,China
Holly,E,Goff,African jacana,Wood,China
Beniamino,E,Marthen,"Eagle, tawny",Wood,Philippines
Kevina,H,Featherby,Common eland,Glass,Indonesia
Kaile,Z,Tomenson,"Lemur, ring-tailed",Rubber,Sweden
Filberte,I,Haxley,Western patch-nosed snake,Granite,Democratic Republic of the Congo
Ragnar,D,Strathe,Chameleon (unidentified),Plexiglass,Jamaica
Helena,E,Biagini,"Hornbill, yellow-billed",Wood,Honduras
Harmonie,O,Stagg,"Goose, snow",Plastic,Brazil
Leila,L,Richard,Galapagos hawk,Glass,Bolivia
Julian,R,Kettlewell,Guanaco,Aluminum,El Salvador
Gerek,Z,Ezzle,Stick insect,Brass,Brazil
Tressa,R,Devo,Western spotted skunk,Granite,Russia
Gardener,X,Inns,"Sloth, two-toed tree",Aluminum,Georgia
Terrell,M,Reeme,"Woodcock, american",Vinyl,Kenya
Brandice,Y,Le Noir,Frilled dragon,Rubber,Albania
Anabel,O,Goakes,Kalahari scrub robin,Aluminum,Thailand
Marcos,X,Girsch,"Dog, raccoon",Glass,China
Eugine,P,Lyburn,Common seal,Stone,Finland
Salvador,K,Conningham,"Crane, sandhill",Stone,Serbia
Sabrina,Q,Spraggs,"Iguana, marine",Plastic,Russia
Whitaker,G,Jeeves,"Penguin, magellanic",Wood,Philippines
Job,Z,Reinert,Baleen whale,Wood,Mexico
Jeddy,G,Trangmar,"Pigeon, wood",Wood,China
Gideon,Z,Scarlin,"Bee-eater, carmine",Rubber,Serbia
Jethro,E,Tetlow,Common green iguana,Steel,Argentina
Linnea,W,Skippen,Tasmanian devil,Plexiglass,China
Freeland,V,Vousden,"Colobus, black and white",Steel,Malaysia
Theodore,D,Lukasik,"Ibis, puna",Plexiglass,Canada
Margarette,X,Vanelli,Downy woodpecker,Stone,Poland
Russell,X,Splevin,South American meadowlark (unidentified),Brass,Indonesia
Geneva,O,Cleall,Black-throated cardinal,Brass,China
Vail,S,Kinningley,Black vulture,Plexiglass,Australia
Mahala,A,Madden,"Pelican, australian",Wood,Peru
Nikola,G,Aluard,Bat-eared fox,Brass,Greece
Tulley,D,Upsale,"Cat, toddy",Plexiglass,Croatia
Brook,M,Klemenz,"Ox, musk",Stone,Poland
Sigismond,A,Gadeaux,"Roller, lilac-breasted",Stone,Jamaica
Hilary,N,Gazey,"Loris, slender",Aluminum,China
Zack,K,Valsler,Spotted hyena,Granite,Indonesia
Chadwick,G,Lincey,"Starling, greater blue-eared",Rubber,China
Gregory,K,Guynemer,Native cat,Rubber,Peru
Jerry,F,Biever,"Fox, arctic",Steel,New Zealand
Orin,E,Chevalier,Klipspringer,Brass,Philippines
Scarlet,W,Acome,Large cormorant,Vinyl,Colombia
Berthe,X,Fried,"Albatross, waved",Plastic,China
Hildagard,A,Fitchen,"Monkey, bleeding heart",Brass,China
Udall,I,Delnevo,Agile wallaby,Aluminum,Russia
Joanna,A,Skurray,"Pigeon, feral rock",Brass,Philippines
Reade,M,Mowsley,"Goose, knob-nosed",Brass,Indonesia
Chad,O,Dampier,Gray rhea,Vinyl,Sweden
Brigit,B,Pretsell,Warthog,Stone,China
Krissie,H,Neno,"Buffalo, asian water",Plexiglass,China
Celina,B,Collelton,South American puma,Stone,Philippines
Giuditta,W,Mebius,White-browed sparrow weaver,Stone,Canada
Guglielmo,B,Brokenshaw,Ringtail cat,Plexiglass,China
Angeli,C,Kelloway,Long-crested hawk eagle,Steel,Russia
Cornell,R,Ventam,"Woodcock, american",Glass,China
Louisa,G,Hamnett,Tokay gecko,Rubber,Indonesia
Marcia,Q,Blackburne,White-winged dove,Steel,Philippines
Shea,D,O'Hartnett,Arctic hare,Glass,Ivory Coast
Spencer,U,Gierke,White-winged tern,Steel,Indonesia
Reube,M,Donneely,Sarus crane,Rubber,China
Moselle,S,Grindlay,"Seal, harbor",Stone,Kyrgyzstan
Shina,D,Sweedland,"Woodpecker, downy",Brass,China
Adolphe,E,Curror,Greylag goose,Plexiglass,Philippines
Rock,F,Giacubo,"Bushbaby, large-eared",Vinyl,Sweden
Laraine,U,Lejeune,Yellow-necked spurfowl,Brass,Nigeria
Nelle,S,Faughnan,"Roller, lilac-breasted",Granite,China
Kelbee,S,Ciccerale,Malabar squirrel,Vinyl,Indonesia
Barbara,Z,Wynes,"Snake, western patch-nosed",Aluminum,Greece
Shannon,R,Sleigh,"Zorro, azara's",Granite,China
Nat,F,Hanks,"Tarantula, salmon pink bird eater",Vinyl,Russia
Corry,O,Osburn,"Squirrel, uinta ground",Steel,Argentina
Gwenni,A,Townsend,"Mynah, common",Aluminum,Tanzania
Chick,D,Troughton,Brazilian otter,Steel,Indonesia
Lion,V,Walkden,Scarlet macaw,Glass,China
Stirling,T,Fulcher,Green-winged macaw,Aluminum,Slovenia
Mariana,R,Leeburn,Ornate rock dragon,Vinyl,China
Adella,K,Shefton,Bleeding heart monkey,Plastic,Poland
Alfred,F,MacCole,"Brocket, red",Brass,China
Sonny,G,Balwin,African snake (unidentified),Brass,Brazil
Franklin,P,O'Flaverty,American beaver,Glass,Sweden
Rene,W,Ledley,"Shrike, southern white-crowned",Aluminum,Russia
Timoteo,C,McSherry,Brown antechinus,Wood,Portugal
Brianna,H,Jewer,Spur-winged goose,Plexiglass,Malaysia
Kendal,R,Hardiker,"Stork, openbill",Vinyl,Philippines
Melantha,I,MacArte,Meerkat,Wood,Azerbaijan
Stafford,K,Lahiff,"Booby, masked",Granite,China
Drona,E,Norrie,"Squirrel, european red",Rubber,Sweden
Orelie,Y,Noller,Crested barbet,Brass,Poland
Vita,K,Spanton,"Crane, blue",Plexiglass,Niger
Ingrim,R,Albone,Toddy cat,Wood,Canada
Curt,R,Trounce,Common long-nosed armadillo,Brass,Japan
Bartlet,R,Normand,Brown capuchin,Brass,Mexico
Genevieve,G,Brotherhed,Lesser flamingo,Steel,Czech Republic
Perl,K,Meadows,Common turkey,Wood,China
Justin,K,Renish,Southern right whale,Rubber,China
Olimpia,D,Gumary,Sociable weaver,Vinyl,China
Jule,G,Mattimoe,"Turtle, long-necked",Stone,Syria
Kriste,E,Vedekhov,"Shrew, mandras tree",Rubber,Russia
Allegra,G,Collyer,"Pintail, bahama",Plexiglass,Democratic Republic of the Congo
Zaccaria,X,MacCurley,"Duck, mountain",Glass,Russia
Hillel,H,Massot,Bennett's wallaby,Aluminum,Philippines
Dal,Z,Jurasek,Downy woodpecker,Steel,Greece
